,"CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares ; Jan. 26, 2020 ; Jan. 27, 2019",2020-01-26,2019-01-27,"CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares ; Jan. 31, 2021 ; Jan. 26, 2020",2021-01-31,2020-01-26,"CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares ; Jan. 30, 2022 ; Jan. 31, 2021",2022-01-30,2021-01-31,"CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares shares in Millions ; Jan. 29, 2023 ; Jan. 30, 2022",2023-01-29,2022-01-30,"Consolidated Balance Sheets (Parenthetical) - $ / shares shares in Millions ; Jan. 28, 2024 ; Jan. 29, 2023",2024-01-28,2023-01-29
0,Statement of Financial Position [Abstract],,,Statement of Financial Position [Abstract],,,Statement of Financial Position [Abstract],,,Statement of Financial Position [Abstract],,,Statement of Financial Position [Abstract],,
1,"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001,"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001,"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001,"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001,"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001
2,"Preferred stock, shares authorized (in shares)","2,000,000","2,000,000","Preferred stock, shares authorized (in shares)","2,000,000","2,000,000","Preferred stock, shares authorized (in shares)","2,000,000","2,000,000","Preferred stock, shares authorized (in shares)",2,2,"Preferred stock, shares authorized (in shares)",2,2
3,"Preferred stock, shares issued (in shares)",0,0,"Preferred stock, shares issued (in shares)",0,0,"Preferred stock, shares issued (in shares)",0,0,"Preferred stock, shares issued (in shares)",0,0,"Preferred stock, shares issued (in shares)",0,0
4,"Common stock, par value (in USD per share)",$ 0.001,$ 0.001,"Common stock, par value (in USD per share)",$ 0.001,$ 0.001,"Common stock, par value (in USD per share)",$ 0.001,$ 0.001,"Common stock, par value (in USD per share)",$ 0.001,$ 0.001,"Common stock, par value (in USD per share)",$ 0.001,$ 0.001
5,"Common stock, shares authorized (in shares)","2,000,000,000","2,000,000,000","Common stock, shares authorized (in shares)","2,000,000,000","2,000,000,000","Common stock, shares authorized (in shares)","4,000,000,000","4,000,000,000","Common stock, shares authorized (in shares)","8,000","8,000","Common stock, shares authorized (in shares)","8,000","8,000"
6,"Common stock, shares issued (in shares)","955,000,000","945,000,000","Common stock, shares issued (in shares)","965,000,000","955,000,000","Common stock, shares issued (in shares)","2,506,000,000","3,859,000,000","Common stock, shares issued (in shares)","2,466","2,506","Common stock, shares issued (in shares)","2,464","2,466"
7,"Common stock, shares outstanding (in shares)","612,000,000","606,000,000","Common stock, shares outstanding (in shares)","620,000,000","612,000,000","Common stock, shares outstanding (in shares)","2,506,000,000","2,479,000,000","Common stock, shares outstanding (in shares)","2,466","2,506","Common stock, shares outstanding (in shares)","2,464","2,466"
8,Treasury stock (in shares),"342,000,000","339,000,000",Treasury stock (in shares),"345,000,000","342,000,000",Treasury stock (in shares),0,"1,380,000,000",,,,,,
