CONDENSED CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME - USD ($) $ in Millions ; 3 Months Ended,2019-04-28,2018-04-29
Statement of Comprehensive Income [Abstract],,
Net income,$ 394,"$ 1,244"
Available-for-sale securities:,,
Net change in unrealized gain (loss),7,
Cash flow hedges:,,
Net unrealized gain (loss),4,
Reclassification adjustments for net realized gain (loss) included in net income,1,
Net change in unrealized gain (loss),3,
"Other comprehensive income (loss), net of tax",10,
Total comprehensive income,$ 404,"$ 1,239"
