CONDENSED CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME - USD ($) $ in Millions ; 3 Months Ended,2018-04-29,2017-04-30
Net income,"$ 1,244",$ 507
Net unrealized gain on available-for-sale securities,7,3
Net unrealized loss on cash flow hedges,(3),(1)
"Reclassification adjustments for net realized loss on cash flow hedges included in net income, net of tax",1,1
Net change in unrealized loss on cash flow hedges,(2),0
"Other comprehensive income, net of tax",5,3
Total comprehensive income,"$ 1,249",$ 510
