"CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares shares in Millions ; Jan. 29, 2023 ; Jan. 30, 2022",2023-01-29,2022-01-30
Statement of Financial Position [Abstract],,
"Preferred stock, par value (in USD per share)",$ 0.001,$ 0.001
"Preferred stock, shares authorized (in shares)",2,2
"Preferred stock, shares issued (in shares)",0,0
"Common stock, par value (in USD per share)",$ 0.001,$ 0.001
"Common stock, shares authorized (in shares)","8,000","8,000"
"Common stock, shares issued (in shares)","2,466","2,506"
"Common stock, shares outstanding (in shares)","2,466","2,506"
