"CONDENSED CONSOLIDATED BALANCE SHEETS (Parenthetical) - $ / shares ; Mar. 31, 2023 ; Jun. 30, 2022",2023-03-31,2022-06-30
"Common stock, par value (in dollars per share)",$ 0.00001,$ 0.00001
"Common stock, shares authorized (in shares)","750,000,000","750,000,000"
"Common stock, shares issued (in shares)","151,064,698","144,891,749"
"Common stock, shares outstanding (in shares)","151,064,698","144,891,749"
"Common stock, par value (in dollars per share)",$ 0.00001,$ 0.00001
"Common stock, shares authorized (in shares)","230,000,000","230,000,000"
"Common stock, shares issued (in shares)","106,179,557","110,035,649"
"Common stock, shares outstanding (in shares)","106,179,557","110,035,649"
